matricula,modelo
3703 LNB,TOYOTA
5193 LNS,VOLKSWAGEN CRAFTER
4266 LDW,MERCEDES VIANO (mantenimiento)
1488 JVW,AUDI A1
9005 JTJ,AUDI A1
2239 LMT,AUDI A3 (mantenimiento)
8697 JHH,AUDI SQ5 (mantenimiento)
7345 LJD,BMW X5 (fuera de flota)
1456 HCV,FIAT 500
2500 HPL,MERCEDES CLASE A SPORT
6281 CBW,MINI MORRIS (mantenimiento)
9266 KPM,BMW X2
0173 MBY,MINI 31DK
7850 LLT,BMW X1 (fuera de flota)
8877 DKJ,BMW M3 (fuera de flota)
7112 JYG,BMW M4
TF 8116 CB,MITSUBISHI MONTERO (mantenimiento)
GC 8135 BY,MITSUBISHI MONTERO (mantenimiento)
3451 MTD,YARIS
8365 LYB,BMW X5
3621 MTB,CHR
3589 MTB,CHR
3587 MTB,CHR
3289 MTF,HYUNDAI IONIQ
3588 MTB,HYUNDAI IONIQ
3590 MTB,HYUNDAI IONIQ
3591 MTB,HYUNDAI IONIQ
3592 MTB,HYUNDAI IONIQ
3623 MTB,HYUNDAI IONIQ
3603 MSC,VOLKSWAGEN ID BUZZ
4016 MSC,VOLKSWAGEN ID BUZZ
3604 MSC,VOLKSWAGEN ID BUZZ
4253 MNJ,VOLKSWAGEN ID BUZZ
0519 MSD,HYUNDAI NEXO
8394 MSC,HYUNDAI NEXO
8396 MSC,HYUNDAI NEXO
8405 MSC,HYUNDAI NEXO (mantenimiento)
8379 MSC,HYUNDAI NEXO
8389 MSC,HYUNDAI NEXO
5431 NHP,TOYOTA MIRAI
5426 NHP,TOYOTA MIRAI
5421 NHP,TOYOTA MIRAI
5428 NHP,TOYOTA MIRAI
9348 NHN,TOYOTA MIRAI
5422 NHP,TOYOTA MIRAI
5425 NHP,TOYOTA MIRAI
5430 NHP,TOYOTA MIRAI
5427 NHP,TOYOTA MIRAI
5423 NHP,TOYOTA MIRAI
5424 NHP,TOYOTA MIRAI
5429 NHP,TOYOTA MIRAI
